Estacion,Lon,Lat,1,3,6,9,12
E000V00179,-70.22,-33.878,2.204,1.434,0.732,-0.111,-0.54
E000V00056,-71.394,-33.941,0.028,0.081,0.145,0.128,0.162
E000V00068,-71.825,-33.959,-0.117,-0.071,0.312,0.304,0.287
E000V00064,-70.717,-33.983,0.093,-0.071,-0.084,-0.15,-0.103
E000V00059,-70.772,-34.169,1.304,0.254,-0.108,-0.276,-0.432
E000V00180,-70.402,-34.203,0.269,-0.23,-0.412,-0.516,-0.522
E000V00061,-70.997,-34.215,-0.325,-0.322,-0.243,-0.277,-0.214
E000V00060,-70.948,-34.261,-0.368,-0.313,-0.144,-0.176,-0.093
E000V00066,-70.812,-34.279,-0.401,-0.304,-0.054,-0.081,0.018
E000V00066,-70.812,-34.279,-0.401,-0.304,-0.054,-0.081,0.018
E000V00065,-70.834,-34.322,-0.401,-0.304,-0.054,-0.081,0.018
E000V00065,-70.834,-34.322,-0.401,-0.304,-0.054,-0.081,0.018
E000V00067,-72.019,-34.394,-0.017,0.062,0.286,0.281,0.272
E000V00063,-70.21,-34.411,2.202,2.008,1.401,0.768,-0.285
E000V00071,-71.463,-34.485,0.091,0.034,0.292,0.295,0.363
E000V00069,-71.898,-34.645,-0.091,-0.2,0.223,0.227,0.262
E000V00072,-71.4,-34.691,-0.413,-0.378,0.107,0.103,0.142
E000V00070,-71.63,-34.714,-0.33,-0.328,0.166,0.165,0.207
E000340044,-71.02,-34.721,-0.462,-0.639,-0.164,-0.18,-0.148
E000V00181,-70.52,-34.781,1.535,0.522,0.059,-0.051,-0.394
E000V00086,-72.026,-34.855,-0.19,-0.182,0.033,0.038,0.079
E000V00084,-71.125,-34.96,-0.291,-0.628,-0.295,-0.315,-0.27
E000V00083,-71.832,-34.968,0.593,-0.578,-0.313,-0.352,-0.341
E000340031,-71.217,-34.969,-0.301,-0.639,-0.285,-0.304,-0.258
E000V00085,-70.811,-35.0,0.812,-0.287,-0.599,-0.652,-0.44
E000V00076,-71.956,-35.128,-0.261,-0.22,-0.076,-0.074,-0.015
E000V00182,-70.83,-35.398,0.984,0.163,-0.156,-0.268,-0.22
E000V00079,-71.467,-35.419,-0.253,-0.548,-0.297,-0.326,-0.273
E000V00078,-71.7,-35.533,-0.575,-0.759,-0.36,-0.365,-0.322
E000V00074,-71.454,-35.663,-0.056,-0.689,-0.418,-0.425,-0.387
E000V00077,-72.08199999999998,-35.672,-0.338,-0.129,-0.159,-0.156,-0.091
E000V00080,-71.062,-35.699,1.008,-0.13,-0.119,-0.169,-0.127
E000V00075,-71.631,-35.753,-0.131,-0.717,-0.413,-0.421,-0.384
E000V00082,-72.587,-35.836,-0.112,0.04,-0.029,-0.02,0.084
E000V00183,-71.05,-36.06,1.343,0.103,-0.181,-0.229,0.044
E000V00087,-72.783,-36.133,-0.113,0.309,0.296,0.302,0.398
E000V00073,-71.548,-36.257,-0.088,-0.768,-0.476,-0.497,-0.474
E000V00091,-71.9,-36.292,-0.279,-0.809,-0.554,-0.57,-0.557
E000V00090,-72.64,-36.43,-0.313,-0.165,0.017,0.01,0.07
E000V00088,-72.699,-36.492,-0.177,0.344,0.381,0.381,0.474
E000V00092,-71.549,-36.56,1.561,-0.366,-0.35,-0.405,-0.227
E000360011,-72.037,-36.586,-0.524,-0.809,-0.505,-0.517,-0.512
E000V00089,-72.60299999999998,-36.625,-0.421,-0.032,0.24,0.233,0.289
E000V00099,-72.965,-36.672,-0.214,0.169,0.457,0.453,0.54
E000V00096,-72.70399999999998,-36.697,-0.365,0.087,0.333,0.327,0.389
E000V00098,-72.983,-36.733,-0.388,-0.052,0.363,0.354,0.416
E000V00098,-72.983,-36.733,-0.388,-0.052,0.363,0.354,0.416
E000360019,-73.066,-36.781,-0.388,-0.052,0.363,0.354,0.416
E000360019,-73.066,-36.781,-0.388,-0.052,0.363,0.354,0.416
E000V00184,-71.5,-36.88,0.951,-0.631,-0.497,-0.546,-0.442
E000V00093,-72.099,-36.977,-0.434,-0.894,-0.593,-0.606,-0.601
E000V00095,-73.14,-37.005,-0.73,-0.451,0.332,0.319,0.336
E000V00106,-72.403,-37.035,-0.751,-0.639,-0.084,-0.102,-0.098
E000V00097,-73.155,-37.092,-0.664,-0.377,0.457,0.441,0.456
E000V00105,-71.245,-37.111,1.617,-0.036,-0.36,-0.449,-0.069
E000V00094,-72.012,-37.141,-0.286,-0.8,-0.58,-0.597,-0.59
E000V00108,-72.946,-37.167,0.76,-0.603,-0.251,-0.291,-0.127
E000V00107,-72.328,-37.213,1.056,-0.641,-0.548,-0.611,-0.36
E000V00111,-71.949,-37.293,-0.296,-0.802,-0.581,-0.599,-0.592
E000V00100,-73.437,-37.305,-0.641,-0.413,0.238,0.218,0.23
E000V00185,-71.566,-37.323,1.597,-0.289,-0.475,-0.542,-0.177
E000370033,-72.424,-37.397,-0.199,-0.832,-0.443,-0.467,-0.448
E000V00186,-72.83,-37.418,-0.454,-0.326,0.109,0.087,0.089
E000V00103,-73.33,-37.485,-0.507,-0.461,0.098,0.079,0.075
E000V00110,-71.875,-37.536,0.913,-0.629,-0.488,-0.535,-0.478
E000V00104,-73.462,-37.627,-0.516,-0.541,0.016,-0.003,-0.013
E000V00109,-72.007,-37.685,0.552,-0.619,-0.417,-0.429,-0.449
E000V00116,-72.605,-37.726,-0.527,-0.518,0.176,0.164,0.172
E000V00101,-73.412,-37.892,-0.467,-0.695,-0.056,-0.081,-0.097
E000V00102,-73.09699999999998,-37.95,-0.586,-0.587,-0.203,-0.219,-0.243
E000V00112,-71.435,-38.057,1.175,-0.097,-0.297,-0.327,-0.109
E000V00114,-72.298,-38.146,1.126,-0.316,-0.003,-0.004,-0.041
E000V00117,-72.27299999999998,-38.228,1.187,-0.334,0.002,-0.003,-0.041
E000V00188,-72.956,-38.207,-0.479,-0.645,-0.342,-0.35,-0.373
E000V00187,-71.75,-38.414,0.899,0.11,0.005,-0.029,0.03
E000V00121,-72.399,-38.435,0.802,-0.628,-0.136,-0.147,-0.208
E000V00129,-72.84999999999998,-38.446,0.646,-0.79,-0.223,-0.251,-0.297
E000V00126,-72.224,-38.675,0.87,-0.268,-0.163,-0.179,-0.14
E000V00115,-71.141,-38.732,1.473,0.24,0.007,0.006,0.443
E000380013,-72.45999999999998,-38.768,0.519,-0.978,-0.302,-0.323,-0.392
E000V00120,-71.683,-38.834,0.985,0.051,-0.05,-0.061,0.065
E000V00128,-72.787,-39.022,0.886,-0.847,-0.163,-0.196,-0.262
E000V00127,-72.25199999999998,-39.007,0.644,-0.389,-0.164,-0.179,-0.15
E000V00122,-72.92199999999998,-39.071,0.286,-1.14,-0.26,-0.272,-0.33
E000V00118,-72.61499999999998,-39.103,0.848,-0.802,-0.182,-0.196,-0.265
E000V00124,-73.13299999999998,-39.165,0.294,-1.084,-0.335,-0.35,-0.413
E000V00125,-72.26099999999998,-39.196,0.337,-0.555,-0.262,-0.28,-0.253
E000V00119,-71.868,-39.262,0.559,-0.357,-0.206,-0.177,0.029
E000V00123,-71.926,-39.289,0.101,-0.47,-0.33,-0.348,-0.217
E000V00189,-72.54999999999998,-39.373,0.499,-0.526,-0.228,-0.251,-0.234
E000V00190,-73.177,-39.39,0.194,-0.934,-0.394,-0.4,-0.474
