Clave,Longitud,Latitud,Altitud,Estaci�n,Nombre,comid
E000V00045,-70.548000000000002,-33.545000000000002,"670",V,LA FLORIDA,660039047
E000V00058,-70.902000000000001,-33.607999999999997,"378",V,PE�AFLOR,660067207
E000V00048,-70.566999999999993,-33.616999999999997,"690",V,PUENTE ALTO,660091848
E000330031,-78.832999999999998,-33.636000000000003,"40",O,JUAN FERN�NDEZ,660067972
E000330030,-71.613000000000000,-33.655999999999999,"77",O,SANTO DOMINGO,660096072
E000V00049,-70.088999999999999,-33.676000000000002,"2478",V,SAN JOS� DE MAIPO,660073545
E000V00057,-71.100999999999999,-33.692000000000000,"223",V,EL MONTE,660062281
E000V00052,-70.706999999999994,-33.707000000000001,"528",V,BUIN,660060875
E000V00053,-70.638999999999996,-33.862000000000002,"438",V,PAINE,660038347
E000V00179,-70.219999999999999,-33.878000000000000,NA,V,V16,660096076
E000V00056,-71.394000000000005,-33.941000000000003,"151",V,SAN PEDRO,660065805
E000V00068,-71.825000000000003,-33.959000000000003,"30",V,NAVIDAD,660068621
E000V00064,-70.716999999999999,-33.982999999999997,"451",V,MOSTAZAL,660105934
E000V00054,-70.995000000000005,-34.029000000000003,"351",V,ALHU�,660098190
E000V00059,-70.772000000000006,-34.168999999999997,"487",V,RANCAGUA,660105234
E000V00180,-70.402000000000001,-34.203000000000003,NA,V,V17,660065105
E000V00061,-70.997000000000000,-34.215000000000003,"316",V,DO�IHUE,660026385
E000V00062,-71.299999999999997,-34.216999999999999,"127",V,LAS CABRAS,660081298
E000V00060,-70.947999999999993,-34.261000000000003,"336",V,COINCO,660074962
E000V00066,-70.811999999999998,-34.279000000000003,"416",V,REQU�NOA,660043986
E000V00065,-70.834000000000003,-34.322000000000003,"376",V,RENGO,660043986
E000V00067,-72.019000000000005,-34.393999999999998,"25",V,PICHILEMU,660086932
E000V00063,-70.209999999999994,-34.411000000000001,"2140",V,MACHAL�,660069333
E000V00071,-71.462999999999994,-34.484999999999999,"139",V,PERALILLO,660069334
