Clave,Longitud,Latitud,Nombre,comid
E000221905,-75.95,-9.483,PUERTO CHINCHAVITO,620994261
E000221813,-76.31,-9.921,HIGUERAS,620787884
E000221825,-76.179,-10.33,SAN RAFAEL,620951650
E000230905,-75.95,-11.467,CASARACRA,620809981
E000230914,-75.233,-12.183,CHUPURO,620979268
E000230901,-76.283,-10.933,UPAMAYO,620808576
E000230907,-75.833,-11.633,HUARI,621079687
E000230911,-75.767,-11.867,PINASCOCHA,620631123
E000230941,-75.158,-12.003,SHULLCAS,620688923
E000230925,-75.467,-12,YANACOCHA,620843035
E000230917,-75.15,-12.383,QUILLON,620822416
E000230916,-74.65,-12.35,PONGOR,620720589
E000230926,-74.933,-12.517,LA MEJORADA,620887094
E000230921,-74.35,-12.85,ALLCOMACHAY,620911879
E000230922,-74.767,-12.967,HUAPA,620785296
E000230923,-74.717,-13.033,SANTA ELENA,620804562
E000230704,-74.417,-13.883,RAYUSCA,620611967
E000230706,-74.933,-13.4,LOS LIBERTADORES,620777061
E000230709,-75.017,-13.55,LAGUNA PARIONA,620511502
E000230703,-73.817,-13.45,PUENTE PAMPAS,620905033
E000230702,-74.733,-13.533,VISCAPALCA,620627084
E000230707,-74.417,-13.967,URABAMBA,620495011
E000230502,-72.083,-14.45,PUENTE COLCA - SANTO TOMAS,620508797
E000230501,-71.633,-15.167,LA ANGOSTURA,620532228
E000230929,-72.917,-13.117,TERESITA,620507350
E000230715,-71.721,-13.107,CHACLLABAMBA,620869238
E000230301,-71.595,-13.314,PAUCARTAMBO,620819713
E000230403,-72.217,-13.3,PUENTE SAN MIGUEL,620843104
E000230401,-71.841,-13.428,PISAC,620918794
E000230942,-72.233,-13.517,HUATANAY (borrar),620537642
E000230404,-71.9,-13.567,GRANJA KAYRA,620561039
E000210304,-69.85,-15.067,PUTINA,660062672
E000210102,-70.189,-14.92,AZANGARO,660090126
E000210202,-70.333,-15.033,PUCARA PUENTE CALAPUJA,660094352
E000210902,-70.024,-15.838,MUELLE LAGO,660051421
E000210502,-69.323,-16.571,PUENTE YOROHOCO-CCALLACAME,660104938
E000600020,-69.867,-16.9,CHILA,660069039
E000600023,-69.933,-17.017,COYPA COYPA,660004977
E000600034,-69.7,-16.933,PUENTE CRUCERO,660093680
E000230943,-71.468,-13.024,CHONTACHACA,620735762
E000260501,-69.706,-14.154,LIMBANI,620684913
E000230938,-74.831,-10.949,PERENE,620900770
E000230934,-74.167,-11.15,SANTARO,621037005
E000230937,-74.317,-11.133,PUERTO OCOPA,620961324
E000230935,-74.317,-11.233,ASHANINGA,620603566
E000231101,-74.961,-9.381,PUERTO INCA,621002511
E000231301,-75.001,-7.352,CONTAMANA,621098723
E000231202,-75.5,-9.033,PUENTE AGUAYTIA,620973597
E000231203,-75.21,-8.828,SAN ALEJANDRO,620980466
E000240301,-73.5,-1.583,SANTA MERCEDES,620590669
E000240302,-72.75,-2.467,EL ESTRECHO,620095358
E000260101,-73.679,-2.487,SANTA CLOTILDE,621007646
E000220104,-75.057,-3.805,TROMPETEROS,621064133
E000240109,-73.134,-3.5,SANTA CRUZ,621112276
E000240110,-73.667,-3.084,SANTA MARIA DE NANAY,620582493
E000260201,-73.241,-3.462,LA LIBERTAD,621028338
E000240104,-72.767,-3.417,CABALLO COCHILLO,620583888
E000240107,-73.467,-3.85,MINSHANA,621020104
E000240103,-71.667,-3.733,COCHIQUINOS,621071009
E000240102,-72.283,-3.433,TAMSHIYACU,620753138
E000240106,-70.067,-4.15,PUERTO ALEGRE,620610073
E000240201,-73.083,-3.517,TIMICURILLO I,621090263
E000240202,-73.084,-3.517,TIMICURILLO II,621090263
E000240105,-73.233,-3.733,SEDA LORETO,621022851
E000220105,-74.2,-4.6,SAN REGIS,621105459
E000204710,-71.572,-16.481,TIABAYA,670070584
E000204701,-71.095,-15.84,CANAL ZAMACOLA,670112543
E000204714,-71.989,-16.049,LLUTA,670092072
E000204705,-71.744,-16.283,LA CALERA,670120750
E000204712,-71.708,-16.38,LA JOYA ANTIGUA,670061361
E000204703,-71.183,-16.15,EL FRAYLE,670042923
E000204727,-72.033,-16.183,LLUCLLA II,670094124
E000204707,-71.867,-16.417,MOCORO,670107444
E000204706,-71.483,-16.317,CHARCANI,670104367
E000204811,-70.267,-16.85,JAPOJUNCO,670074692
E000205001,-70.383,-16.917,SUCHE,670050119
E000205006,-70.096,-17.054,TICAPAMPA,670048077
E000205012,-70.283,-17.1,CORANCHAY,670062414
E000600021,-69.75,-17.183,CHILICULCO,660078196
E000600024,-69.917,-17.2,ENTRADA TUNEL KOVIRE,660103540
E000205002,-70.4,-17.05,TACALAYA,670038860
E000600026,-70.083,-17.25,ICHICOLLO,670029651
E000600035,-70.083,-17.25,SALIDA TUNEL KOVIRE,670029651
E000211705,-69.8,-17.367,CHALLAPALCA,660002167
E000205102,-69.933,-17.367,JARUMA,670032727
E000215204,-69.626,-17.58,BOCATOMA,660106363
E000600025,-69.817,-17.8,HUAYLILLAS,670021481
E000205107,-70.45,-17.617,CORUCA,670053217
E000205203,-70.017,-17.867,CHUSCHUCO,670034794
E000600027,-70.222,-17.808,IZCAVIZCACHAS I,670041959
E000600028,-70.222,-17.808,IZCAVIZCACHAS II,670041959
E000205011,-70.65,-18.067,ACEQUIA AGUA DULCE,670035824
E000205103,-70.592,-17.85,LA TRANCA,670049126
E000205205,-70.183,-17.933,HUALILLAS,670047083
E000205206,-70.147,-18.053,PUENTE UCHUSUMA,670031728
E000204901,-70.217,-16.533,CORALAQUE,670063416
E000204902,-70.217,-16.717,PASTO GRANDE,670068543
E000204807,-71.425,-16.798,ICHUPAMPA,670079809
E000204808,-71.533,-16.917,TITIJONES,670066504
E000204903,-71.7,-17.083,CHUCARAPI,670033741
E000204801,-70.55,-17.033,CUAJONE,670036812
E000204804,-70.834,-17.126,TUMILACA,670049103
E000204805,-70.533,-17.167,SHIBAYA,670041937
E000221818,-77.15,-5.75,AVISADO,620870220
E000221821,-77.05,-5.917,RIO MAYO,620566134
E000221819,-77.45,-5.75,SERRANUYACU (NACIENTE),620896364
E000221820,-77.5,-5.783,SERRANOYACU (AFLUENTE),620604655
E000221826,-77.267,-6.283,TIOYACU,620052906
E000221806,-76.883,-6.133,GERA,620817953
E000221802,-76.6,-6.433,SHANAO,621067024
E000221811,-75.75,-6.35,DOS DE MAYO,621141325
E000221824,-76.183,-6.583,CHAZUTA,620709272
E000221816,-77.05,-6.917,YURACYACU,620826251
E000221807,-76.25,-6.717,LAGUNA SAUCE,621082176
E000221808,-76.25,-6.717,DESAGUADERO LAGUNA SAUCE,621082176
E000221803,-76.45,-7,SAN CRISTOBAL,621079440
E000221823,-76.367,-6.883,PICOTA,620636362
E000230504,-76.75,-7.233,HUAYABAMBA,621065693
E000221804,-76.5,-7.267,REQUENA - BIAVO,621003774
E000201205,-78.933,-7.2,LLALLAN,670031330
E000201209,-79.567,-7.167,CHERREPE,670032353
E000201207,-78.85,-7.217,CHILETE,670029282
E000201200,-79.167,-7.233,EMBALSE GALLITO CIEGO,670036451
E000201203,-79.267,-7.267,VENTANILLAS,670036452
E000201204,-79.1,-7.25,YONAN,670031332
E000201206,-78.917,-7.258,LAS PALTAS,670024164
E000201208,-79.567,-7.317,CURVA VENENO,670052838
E000201208,-79.567,-7.317,CURVA VENENO,670051814
E000201210,-79.567,-7.383,CANAL PACASMAYO,670041577
E000201214,-79.583,-7.433,EL MILAGRO,670041578
E000201213,-79.55,-7.467,SANTA ELENA,670055916
E000220315,-79.483,-6.183,HUALANGA,670030268
E000200702,-79.7,-6.083,HUALLABAMBA,670041529
E000200703,-79.65,-6.1,MARRIPON,670064056
E000200909,-79.189,-6.394,CIRATO,670041541
E000200802,-79.494,-6.435,PUCHACA,670024135
E000200904,-79.7,-6.5,DESAGUADERO,670047688
E000200901,-79.2,-6.533,POTRERILLO,670053833
E000200907,-79.317,-6.633,RACARUMI,670061005
E000200908,-79.455,-6.649,RESERVORIO TINAJONES,670014925
E000200903,-79.374,-6.65,CARHUAQUERO,670064078
E000200902,-79.133,-6.633,BARANDAS,670055885
E000201001,-79.339,-6.841,BATAN,670037460
E000201007,-79.3,-6.867,PORTACHUELO,670030293
E000200906,-79.517,-6.757,DESAGUADERO,670029266
E000201004,-79.617,-6.917,CORBACHO,670033367
E000201003,-79.433,-6.883,PUENTE MOTETE,670050774
E000201005,-79.733,-7.05,SAN LUIS,670043611
E000201006,-79.65,-6.983,LA LEONERA,670006746
E000220116,-76.717,-9.633,TINGO CHICO,620983261
E000220114,-76.667,-9.967,HUARIN I,620959886
E000220115,-76.667,-9.967,HUARIN II,620959886
E000220113,-76.65,-10.3,LAURICOCHA,620881472
E000220102,-77.2,-8.533,HUANCAS,620643328
E000220701,-78.8,-5.267,LA NARANJA,620878450
E000220801,-79.317,-5.25,TABACONAS ALTO,620739474
E000220806,-79.233,-5.317,QUEBRADA LA CULEBRA,620870198
E000220810,-79.267,-5.267,MANCHARA ALTO,620006065
E000220812,-79.25,-5.383,EJE DE PRESA,620861946
E000600018,-79.105,-5.313,LA FLORIDA,620537205
E000600019,-78.971,-5.252,URUMBA,620008818
E000220509,-79.433,-5.367,SHUMAYA,621016056
E000220901,-78.667,-5.733,CORRAL QUEMADO,621130284
E000220501,-79.433,-5.933,LAS JUNTAS,620639061
E000600012,-79.132,-5.606,PIEDRA DEL INCA,620707842
E000220408,-78.867,-5.717,PUENTE CORONA,620738122
E000220401,-78.856,-5.942,PUENTE CHUNCHUCA,621032599
E000220404,-79,-5.833,QUEBRADA LANCHEMA,620952785
E000221908,-79.033,-5.75,EL TAMBO,620948651
E000220504,-79.331,-5.896,EL LIMON,620983061
E000600013,-79.233,-5.933,LAS JUNTAS,620864726
E000221907,-78.683,-5.8,ALGARROBO,621100018
E000220316,-79.05,-6.217,CHIPIANGO,620888134
E000220603,-79.05,-6.217,QUEBRADA INGERIACO,620888134
E000200002,-78.783,-6.533,CANAL CHOTANO,620848248
E000220605,-78.9,-6.367,GUAYAQUIL,620623951
E000220613,-78.741,-6.56,LAJAS,620844120
E000221601,-77.85,-5.7,BALSAPATA,620651434
E000221601,-77.85,-5.7,BALSAPATA,620563369
E000220902,-78.483,-5.467,AMOJAO,620765632
E000220905,-78.433,-5.4,MUYO,621095867
E000221501,-78.432,-5.756,LOS NARANJOS,621072493
E000221509,-78.333,-5.667,COPALLIN,620634921
E000221507,-78.433,-5.683,QUEBRADA TOMAQUE,620644550
E000221503,-78.467,-5.8,JAHUANGA,620815185
E000221505,-78.55,-5.8,EL PINTOR,620824813
E000221502,-78.267,-5.833,YUNCHICATE,621032593
E000221506,-78.189,-5.891,MAGUNCHAL,621010583
E000220209,-77.717,-7.9,EL PORTECHUELO,620581376
E000220202,-78.033,-7.8,LAGUNA SAUSACOCHA,620702458
E000220203,-78.103,-7.849,VADO,620812543
E000220204,-78.133,-7.917,LAGUNA HUANGACOCHA,620003457
E000220903,-78.583,-5.933,CUMBA,620699607
E000220301,-78.65,-6.433,PUENTE CONCHAN,620636336
E000220303,-78.383,-6.533,CHONTAS,620681750
E000220313,-78.383,-6.533,JADIBAMBA,620681750
E000220304,-78.467,-6.617,LLAUCANO SHUGAR,620985851
E000220117,-78.033,-6.85,BALSAS,621073928
E000220206,-78.295,-7.243,NAMORA BOCATOMA,620866172
E000220201,-78.113,-7.463,PUENTE CRISNEJAS,620994152
E000204604,-71.581,-15.589,PUENTE COLGANTE-SIBAYO,670113558
E000204619,-71.25,-15.25,CONDOROMA,670089993
E000204601,-72.017,-15.283,MARIA PEREZ,670131978
